id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
773,Merthyr Tydfil,05-39 : Production,"Peters, Hughes, Webster, Booth Parkinson",0-632k,1,United Kingdom,0,5.519516514,11.92106497,W06000024,Merthyr Tydfil,12.46499455,0,,May-39,C,Production,Office
774,North East Derbyshire,46 : Wholesale,"Jennings-Hunter, Briggs, Lloyd, Scott, Smith",0-632k,1,United Kingdom,0,8.426981085,7.410761935,E07000038,North East Derbyshire,1.117138423,0,,46,G,Wholesale,Office
775,Allerdale,"90-99 : Arts, entertainment, recreation & other","Clements, Harris-Carpenter, Palmer-Webster, Roberts Morris-Rowley",0-632k,1,United Kingdom,0.016453478,9.672993419,27.61265697,E07000026,Allerdale,0.267163946,0.018914186,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
776,Walsall,"90-99 : Arts, entertainment, recreation & other","Marshall, Adams, Brown, Robinson, Bentley",632k-10.2M,1,United Kingdom,0.022213635,13.57448884,16.01574601,E08000030,Walsall,0.365545009,0.021873492,,90-99,R,"Arts, entertainment, recreation & other",Factory
777,East Suffolk,"90-99 : Arts, entertainment, recreation & other","Smith-Davis, Hughes-Woods, Connor-Pearce, Stewart, Scott, Cole, Pollard",0-632k,1,United Kingdom,0,6.499362966,4.433648161,E07000205,East Suffolk,0,0,,90-99,T,"Arts, entertainment, recreation & other",Office
778,Dudley,05-39 : Production,"Mitchell-Davis, Hancock, Moore-Davey, Thomson Morris",0-632k,1,United Kingdom,0,1.944879607,2.259426997,E08000027,Dudley,4.013576508,0,,May-39,C,Production,Shop
779,Chichester,"01-03 : Agriculture, forestry & fishing","Campbell, Hammond-Rees, Webb, John-Payne Owen, Fletcher, Smith",0-632k,1,United Kingdom,0,2.73681287,4.193242047,E07000225,Chichester,0.028477271,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
780,West Suffolk,"01-03 : Agriculture, forestry & fishing","Walker, Ahmed, Stevens, Howarth, Turner, Russell, Steele",0-632k,1,United Kingdom,0.000626835,24.54573123,87.2582802,E07000202,West Suffolk,0.112169672,0.029313403,,01-Mar,A,"Agriculture, forestry & fishing",Factory
781,South Lakeland,05-39 : Production,"Harrison-Griffiths, Warren-Bailey, Sutton, Taylor-Watson Cook, Perry, Hicks",0-632k,1,United Kingdom,0,2.302192052,4.319842804,E07000031,South Lakeland,3.163359227,0,,May-39,C,Production,Shop
782,Ashford,"01-03 : Agriculture, forestry & fishing","Kemp, Smith, Swift, Robinson, Pugh-Carroll",0-632k,1,United Kingdom,0,3.101998679,3.202145462,E07000105,Ashford,0.030978599,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
783,Sandwell,49-53 : Transport & Storage (inc. postal),"Lynch, Nicholls, Reynolds, Johnston, Coates-Wade",0-632k,0,United Kingdom,0,14.41236053,18.0789635,E08000028,Sandwell,0.783554626,0,,49-53,H,Transport & Storage (inc. postal),Office
784,Croydon,55-56 : Accommodation & food services,"Kirk, Iqbal, Moore, Stephens-Fletcher, Chapman, Chambers, Young",0-632k,1,United Kingdom,0,75.24818945,64.30634285,E09000008,Croydon,0.575451559,0.008207111,,55-56,I,Accommodation & food services,Other
785,Warrington,"01-03 : Agriculture, forestry & fishing","Butler, Davies-Harrison, Pearson, Shah, Bell-Jones",0-632k,0,United Kingdom,0,34.82932749,84.91436856,E06000007,Warrington,0.075551489,0.008714953,,01-Mar,A,"Agriculture, forestry & fishing",Other
786,Westminster,"69-75 : Professional, scientific & technical","Scott, Khan-Parry, Johnson-Smith, Watson, May, Davies, Yates",0-632k,1,United Kingdom,0,2.628697508,1.68436013,E09000033,Westminster,0.077725404,0,,69-75,M,"Professional, scientific & technical",Office
787,Teignbridge,47 : Retail,"Stokes-Clayton, Ward-White, Bevan-Chadwick, Frost Marshall, Singh, Jones",0-632k,1,United Kingdom,0,8.328955365,4.738016882,E07000045,Teignbridge,0.749883086,0.210285144,,47,G,Retail,Warehouse
788,Buckinghamshire,41-43 : Construction,"Sharpe, Rowe-Harrison, Walsh, Taylor-Butler Stevens, Holden, Thompson",0-632k,1,United Kingdom,0,30.00731522,20.53516407,E10000002,Buckinghamshire,0.383223171,0.184616879,,41-43,F,Construction,Other
789,Portsmouth,46 : Wholesale,"Jones, Davies, Cooper, Fletcher-Hill, Mitchell, Oliver, Law",0-632k,1,United Kingdom,0,10.41109779,7.036212286,E06000044,Portsmouth,0.912332824,0,,46,G,Wholesale,Office
790,East Riding of Yorkshire,55-56 : Accommodation & food services,"Gray, Robertson, Akhtar, Robinson, Arnold, Howells, Adams",0-632k,1,United Kingdom,0,8.996206634,17.18431572,E06000011,East Riding of Yorkshire,1.92165643,0,,55-56,I,Accommodation & food services,Office
791,"Bristol, City of",85 : Education,"Hutchinson, Allen, Stevenson, Newton-Knight, Humphreys, Walsh, Williams",0-632k,1,United Kingdom,0,5.387686804,3.781045422,E06000023,"Bristol, City of",0.703425511,0,,85,P,Education,Office
792,Three Rivers,49-53 : Transport & Storage (inc. postal),"Parsons, Patel-Morton, O'Brien, Jones, Butler-Owen",0-632k,0,United Kingdom,0,3.533027881,3.099891831,E07000102,Three Rivers,0.073513243,0,,49-53,H,Transport & Storage (inc. postal),Shop
793,Ealing,77-82 : Business administration & support services,"Hussain-Turner, Wilson, Wilkinson, Walker, Jones",0-632k,1,United Kingdom,0,2.121637568,2.324369226,E09000009,Ealing,0.123982807,0,,77-82,N,Business administration & support services,Shop
794,Kingston upon Thames,"69-75 : Professional, scientific & technical","White, Leach, Fisher, Nelson, Edwards, Moore, Wood",632k-10.2M,1,United Kingdom,0,2.119472452,1.746292781,E09000021,Kingston upon Thames,0.112455937,0,,69-75,M,"Professional, scientific & technical",Shop
795,Tameside,77-82 : Business administration & support services,"Hughes, Fisher, Smith, Khan Roberts-Hall",0-632k,1,United Kingdom,0,1.927415719,2.343388083,E08000008,Tameside,0.116743523,0,,77-82,N,Business administration & support services,Shop
796,Cannock Chase,86-88 : Health,"Stevens-Walters, Simmons-Smith, Bray, Davis, Lowe, Tomlinson, Johnson",0-632k,1,United Kingdom,0,1.870754423,2.728673996,E07000192,Cannock Chase,0.824742755,0,,86-88,Q,Health,Shop
797,"Bournemouth, Christchurch and Poole",41-43 : Construction,"Poole-Lewis, Clark-Morgan, Jenkins, Stone-Taylor Smith",0-632k,1,United Kingdom,0,20.1710659,19.96585607,E06000029,"Bournemouth, Christchurch and Poole",0.351630376,0.178383097,,41-43,F,Construction,Other
798,Hyndburn,"90-99 : Arts, entertainment, recreation & other","Harper, Bibi-Holmes, Adams, Mitchell Stephens, Bates, Lamb",0-632k,1,United Kingdom,0.024509109,15.02979073,15.81345856,E07000120,Hyndburn,0.435685328,0.035204456,,90-99,R,"Arts, entertainment, recreation & other",Factory
799,Dartford,41-43 : Construction,"Lambert-Macdonald, Graham, Sinclair, Morley, Brown",0-632k,1,United Kingdom,0,2.544669782,2.228981528,E07000107,Dartford,0.233830013,0,,41-43,F,Construction,Shop
800,Tower Hamlets,77-82 : Business administration & support services,"Walsh-Smith, Johnson, Williams, Gibbons, Cooper",0-632k,1,United Kingdom,0,6.330845887,3.075810596,E09000030,Tower Hamlets,0.119491893,0,,77-82,N,Business administration & support services,Office
801,Southend-on-Sea,"90-99 : Arts, entertainment, recreation & other","Chapman, Clarke-Kerr, Price, Lee, Hill, Morris, Ali",0-632k,1,United Kingdom,0,1.227483184,0.981605937,E06000033,Southend-on-Sea,0.041994851,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
802,Highland,49-53 : Transport & Storage (inc. postal),"Hancock, Harrison-Jordan, Harris, Patel-Johnson Shah",0-632k,1,United Kingdom,,,,S12000017,Highland,,,,49-53,H,Transport & Storage (inc. postal),Other
803,Rushcliffe,41-43 : Construction,"Matthews, Phillips, Fox-Brown, Mitchell, Whitehead, Allen, Russell",0-632k,1,United Kingdom,0,29.56702403,75.7705487,E07000176,Rushcliffe,0.291506925,0.217029665,,41-43,F,Construction,Other
804,Harborough,05-39 : Production,"Dobson-Williams, Elliott, King-Dobson, Taylor, Elliott",0-632k,1,United Kingdom,11.62964171,8.076836423,8.760750214,E07000131,Harborough,28.53746357,0.633333453,,May-39,C,Production,Warehouse
805,Fife,05-39 : Production,"Smith-Nelson, Thomas-Day, Patterson, Lees, Hyde, Johnson, Richards",632k-10.2M,1,United Kingdom,,,,S12000047,Fife,,,,May-39,C,Production,Other
806,Barnet,68 : Property,"Wilson-Barber, Thomas-Allen, Johnson-Barrett, Harrison-Wheeler Pugh",0-632k,1,United Kingdom,0,67.61001548,103.6528749,E09000003,Barnet,0.059222061,0.006473509,,68,L,Property,Other
807,Reigate and Banstead,"01-03 : Agriculture, forestry & fishing","Taylor, Carter, Lucas-Davies, Clark-Jackson Davies, May, Hanson",0-632k,0,United Kingdom,0,66.06814802,51.75826326,E07000211,Reigate and Banstead,0.039572615,0.003268906,,01-Mar,A,"Agriculture, forestry & fishing",Other
808,Havering,"69-75 : Professional, scientific & technical","Mitchell, Wilkinson-Connor, Williams, Hall, Miller, Barrett, Pearson",0-632k,1,United Kingdom,0,33.45694555,22.87643176,E09000016,Havering,0.72006563,0.138762836,,69-75,M,"Professional, scientific & technical",Factory
809,Plymouth,41-43 : Construction,"Morris, Singh, Sanders, Davies-Ahmed, Davies",0-632k,1,United Kingdom,0,7.567302372,9.099958093,E06000026,Plymouth,0.568763562,0,,41-43,F,Construction,Office
810,Nottingham,05-39 : Production,"Wilson-Morgan, Williams, Bailey, Day, Gray-Lamb",632k-10.2M,1,United Kingdom,6.603807399,15.53590428,19.31495425,E06000018,Nottingham,12.71189338,0.125816455,,May-39,C,Production,Factory
811,Nottingham,58-63 : Information & communication,"Matthews, Evans, Stephenson, Franklin, Jones",0-632k,0,United Kingdom,0,2.93873335,2.391356542,E06000018,Nottingham,0.045877246,0,,58-63,J,Information & communication,Shop
812,Flintshire,05-39 : Production,"Day, Brown-Hughes, Stephens, Sykes, Lloyd",0-632k,1,United Kingdom,0,5.508444858,6.452133612,W06000005,Flintshire,8.542836534,0,,May-39,C,Production,Shop
813,Nottingham,47 : Retail,"Patterson-Evans, Shah, Hart-Gordon, McDonald-Williams Smith-Clarke",0-632k,1,United Kingdom,0,5.894961083,6.056618594,E06000018,Nottingham,0.679512154,0,,47,G,Retail,Office
814,Broxbourne,41-43 : Construction,"Brown, Kent, Reed, Carroll, Khan-Potts",0-632k,1,United Kingdom,0,10.13230097,7.502270327,E07000095,Broxbourne,0.673672984,0,,41-43,F,Construction,Office
815,"Armagh City, Banbridge and Craigavon",41-43 : Construction,"Woods-Hunt, Dean-Dale, Schofield, Johnson, Kent-Clayton",0-632k,1,United Kingdom,,,,N09000002,"Armagh City, Banbridge and Craigavon",,,,41-43,F,Construction,Warehouse
816,Perth and Kinross,77-82 : Business administration & support services,"Edwards, Rogers, Bird, Whitehouse, Davidson",632k-10.2M,1,United Kingdom,,,,S12000048,Perth and Kinross,,,,77-82,N,Business administration & support services,Shop
817,"Bournemouth, Christchurch and Poole",68 : Property,"Kelly-Davies, Parker-Davies, Taylor, Barker-Kelly Yates-Hunt",0-632k,1,United Kingdom,0,2.078222877,1.575656909,E06000029,"Bournemouth, Christchurch and Poole",0.070654682,0,,68,L,Property,Shop
818,Southwark,47 : Retail,"Hunter-Kirk, Gregory, Taylor, Patel, Reid-Harrison",0-632k,1,United Kingdom,0,3.956190749,3.514714013,E09000028,Southwark,0.199375039,0,,47,G,Retail,Shop
819,South Cambridgeshire,05-39 : Production,"Campbell-Mellor, Brooks, Bishop-Clarke, Bishop-Fitzgerald Smith",0-632k,1,United Kingdom,0,5.116442766,3.358362683,E07000012,South Cambridgeshire,4.958503099,0,,May-39,C,Production,Office
820,Fife,41-43 : Construction,"Hughes-Jones, Sims, Perry, Rees, Mason",0-632k,1,United Kingdom,,,,S12000047,Fife,,,,41-43,F,Construction,Shop
821,Arun,"01-03 : Agriculture, forestry & fishing","Clark, Dixon, Hodgson, Thompson, Lee-Carey",0-632k,1,United Kingdom,0,1.326342487,2.045790461,E07000224,Arun,0.020234665,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
822,Brighton and Hove,47 : Retail,"Johnson, Richards, Berry, Foster, Brown",0-632k,1,United Kingdom,0,39.51265079,34.41227835,E06000043,Brighton and Hove,0.218701442,0.10489021,,47,G,Retail,Other
823,East Renfrewshire,64-66 : Finance & insurance,"Field-Greenwood, Roberts-Davies, Ingram, Smith-Houghton Hall-Gregory",0-632k,1,United Kingdom,,,,S12000011,East Renfrewshire,,,,64-66,K,Finance & insurance,Office
824,East Hertfordshire,77-82 : Business administration & support services,"Ali-Baxter, King, Ward-Lloyd, Taylor-Wallace Smith-Steele",0-632k,0,United Kingdom,0,4.621270242,4.163670945,E07000242,East Hertfordshire,0.249318773,0,,77-82,N,Business administration & support services,Office
825,Bury,46 : Wholesale,"Thompson, Watson, Hall, Wilkinson-Hancock, Harper, Brown, Lawrence",0-632k,1,United Kingdom,0,15.45307065,24.33215371,E08000002,Bury,1.477908443,1.221076414,,46,G,Wholesale,Factory
826,Havering,77-82 : Business administration & support services,"Cooke-Wilkinson, Parkes, Wilkinson, Bailey, Wilson, Iqbal, Shaw",0-632k,1,United Kingdom,0,13.67326057,10.56806122,E09000016,Havering,0.427008857,0.115491386,,77-82,N,Business administration & support services,Warehouse
827,Doncaster,"69-75 : Professional, scientific & technical","Stokes, Storey-Harvey, Rogers, Ryan, Thomas-Wood",0-632k,1,United Kingdom,0,15.85218727,31.22219439,E08000017,Doncaster,0.781095434,0.446132397,,69-75,M,"Professional, scientific & technical",Factory
828,Northumberland,"90-99 : Arts, entertainment, recreation & other","Brown, Butler, Webb, Lane-Walker, Hunt",0-632k,1,United Kingdom,0,3.032507503,4.316864942,E06000057,Northumberland,0.089621617,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
829,Colchester,47 : Retail,"Doherty, Benson, Riley, Jones, Jennings, Jones, Arnold",0-632k,1,United Kingdom,0,31.45795866,24.07624333,E07000071,Colchester,0.619103185,0.10303325,,47,G,Retail,Other
830,East Lothian,"01-03 : Agriculture, forestry & fishing","Hunter-Parker, Phillips-Nicholson, Hayward-Baldwin, Matthews, Wilson",0-632k,1,United Kingdom,,,,S12000010,East Lothian,,,,01-Mar,A,"Agriculture, forestry & fishing",Factory
831,Epping Forest,64-66 : Finance & insurance,"Wood, Webb, Charlton, White-Singh, Henderson, Walker, Campbell",0-632k,1,United Kingdom,0,2.054791901,4.112591183,E07000072,Epping Forest,0.020673751,0,,64-66,K,Finance & insurance,Shop
832,Kirklees,46 : Wholesale,"Curtis, Richards, Singh, Connolly-Williams, Fletcher",0-632k,1,United Kingdom,0,17.04341714,35.54216925,E08000034,Kirklees,0.731664997,0.246726429,,46,G,Wholesale,Other
833,Teignbridge,55-56 : Accommodation & food services,"Tomlinson, Stone, Taylor, Wheeler, Dyer",0-632k,1,United Kingdom,0,21.03606461,13.63219901,E07000045,Teignbridge,0.392838604,0.003858018,,55-56,I,Accommodation & food services,Other
834,Manchester,"69-75 : Professional, scientific & technical","Griffin, Harrison, McLean, Payne, Dean",0-632k,1,United Kingdom,0,4.986063976,4.750074569,E08000003,Manchester,0.252800432,0,,69-75,M,"Professional, scientific & technical",Office
835,Stoke-on-Trent,41-43 : Construction,"Reed, Armstrong, Walker, Harris, Hancock, Rowe, Lawrence",0-632k,0,United Kingdom,0,7.746767283,31.79692263,E06000021,Stoke-on-Trent,0.765444327,0,,41-43,F,Construction,Office
836,Enfield,"69-75 : Professional, scientific & technical","Chapman, Hall, Edwards, Cox, Williams-Wood",0-632k,1,United Kingdom,0,7.676356554,10.74744486,E09000010,Enfield,0.677560056,0,,69-75,M,"Professional, scientific & technical",Office
837,Liverpool,64-66 : Finance & insurance,"Benson, Hunter, Perry, Price, Parry-Reed",0-632k,1,United Kingdom,0,2.09430214,2.625840897,E08000012,Liverpool,0.012154766,0,,64-66,K,Finance & insurance,Shop
838,City of Edinburgh,"69-75 : Professional, scientific & technical","Ryan-Stephens, Metcalfe, Porter, Pearson, Davidson",0-632k,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,69-75,M,"Professional, scientific & technical",Shop
839,Leeds,05-39 : Production,"Crawford-Gill, Chapman-Clark, Allen, Jones, Davies-Roberts",0-632k,1,United Kingdom,0,2.614294585,3.688584406,E08000035,Leeds,5.131456876,0,,May-39,C,Production,Shop
840,West Berkshire,85 : Education,"Ward, Jackson, Briggs-Harris, Taylor, Kirk",0-632k,0,United Kingdom,0.032510924,26.96825735,23.13044095,E06000037,West Berkshire,2.004821881,0.035845338,,85,P,Education,Factory
841,Mole Valley,"69-75 : Professional, scientific & technical","Harrison, Allen, Potter-Patterson, Smith-Thompson Patel, Smith, Briggs",0-632k,1,United Kingdom,0,23.88225842,26.00421883,E07000210,Mole Valley,0.470192369,0.062861335,,69-75,M,"Professional, scientific & technical",Factory
842,East Hampshire,58-63 : Information & communication,"Fletcher-Shaw, Knight, Bennett, Sharp-Richardson Hodgson-Pugh",0-632k,1,United Kingdom,0,2.455459815,1.622263496,E07000085,East Hampshire,0.0586855,0,,58-63,J,Information & communication,Shop
843,Dumfries and Galloway,46 : Wholesale,"Heath, Chapman-Randall, Cox, Talbot-Walsh Law, Holmes, Pollard",0-632k,0,United Kingdom,,,,S12000006,Dumfries and Galloway,,,,46,G,Wholesale,Other
844,Dacorum,"69-75 : Professional, scientific & technical","Curtis, Parker-Wright, Hunter, Shah, Harding-Reid",0-632k,1,United Kingdom,0,61.33069649,36.38085129,E07000096,Dacorum,0.210461881,0.021982805,,69-75,M,"Professional, scientific & technical",Other
845,Greenwich,"69-75 : Professional, scientific & technical","Williams-Poole, Kirk, Jones-Lamb, Hughes-Warren Clark",632k-10.2M,1,United Kingdom,0,2.161237198,2.62578236,E09000011,Greenwich,0.094570202,0,,69-75,M,"Professional, scientific & technical",Shop
846,Nottingham,58-63 : Information & communication,"Richardson, Thomas, Khan, Thomas, Reynolds-Browne",0-632k,1,United Kingdom,0,8.704899603,16.14604673,E06000018,Nottingham,0.237472367,0.03917223,,58-63,J,Information & communication,Warehouse
847,Kensington and Chelsea,"69-75 : Professional, scientific & technical","Skinner, Patterson, Collier, Bishop-Hall, Russell-Harris",0-632k,0,United Kingdom,0,3.050137085,2.999347292,E09000020,Kensington and Chelsea,0.081931649,0,,69-75,M,"Professional, scientific & technical",Shop
848,Rother,"90-99 : Arts, entertainment, recreation & other","Harvey, Roberts, Richards, Kay, Marsh",0-632k,1,United Kingdom,0,13.05868313,29.41770822,E07000064,Rother,0.212090391,0.008400497,,90-99,S,"Arts, entertainment, recreation & other",Factory
849,Buckinghamshire,"69-75 : Professional, scientific & technical","Cook, King, Sharp, Hanson, Johnson, Allen, Jenkins",0-632k,1,United Kingdom,0,23.1640542,19.97483412,E10000002,Buckinghamshire,0.234095444,0.058729024,,69-75,M,"Professional, scientific & technical",Other
850,Lewes,"90-99 : Arts, entertainment, recreation & other","Burns, Cooper, Jones, Murray-Taylor, Jarvis-Burton",632k-10.2M,1,United Kingdom,0,3.873046634,2.740280816,E07000063,Lewes,0.117261806,0,,90-99,S,"Arts, entertainment, recreation & other",Office
851,Denbighshire,41-43 : Construction,"Butler, Ball, Page, Barnett-Butcher, Robertson-Clark",0-632k,1,United Kingdom,0,18.10931133,13.77823452,W06000004,Denbighshire,0.176446555,0.184057227,,41-43,F,Construction,Other
852,Birmingham,77-82 : Business administration & support services,"Lewis-Patterson, Leach, Wilkinson, Andrews, Farmer-Kirby",0-632k,1,United Kingdom,0,6.779157782,7.839845245,E08000025,Birmingham,0.189047028,0,,77-82,N,Business administration & support services,Office
853,Gloucester,47 : Retail,"Law-Patel, Lee-Mills, Harrison, Morris Price-Barrett",0-632k,1,United Kingdom,0,14.87377289,16.21177204,E07000081,Gloucester,1.652434693,0.803679188,,47,G,Retail,Warehouse
854,Fareham,"69-75 : Professional, scientific & technical","Clarke-Edwards, Kaur, Davis-Walsh, Murphy-Barker Smith-Lane",0-632k,1,United Kingdom,0,3.258354391,3.982346848,E07000087,Fareham,0.254463605,0,,69-75,M,"Professional, scientific & technical",Shop
855,Monmouthshire,47 : Retail,"Baker, Kent, Pritchard, Russell, Smith, Lowe, Reynolds",632k-10.2M,1,United Kingdom,0,3.072808164,2.744001586,W06000021,Monmouthshire,0.434880732,0,,47,G,Retail,Shop
856,Tower Hamlets,47 : Retail,"Stanley, Hill, Thompson, Smith, Johnson-Cooper",0-632k,1,United Kingdom,0,5.615134427,2.926229817,E09000030,Tower Hamlets,0.289704452,0,,47,G,Retail,Shop
857,Waltham Forest,"69-75 : Professional, scientific & technical","Wyatt-Duncan, Jones, Richards, Jones, Webb, Yates, Hughes",0-632k,1,United Kingdom,0,7.718292907,7.263793397,E09000031,Waltham Forest,0.357483825,0,,69-75,M,"Professional, scientific & technical",Office
858,Newport,05-39 : Production,"Townsend-Smith, West, Hall, Woods, Godfrey",0-632k,1,United Kingdom,9.036710799,20.52529324,35.47850707,W06000022,Newport,23.84787851,0.129115758,,May-39,C,Production,Warehouse
859,Dorset,"69-75 : Professional, scientific & technical","Pearce, Thomas, Fletcher, King, Morris-Hancock",0-632k,1,United Kingdom,0,2.445205629,1.201649682,E10000009,Dorset,0.117136422,0,,69-75,M,"Professional, scientific & technical",Shop
860,Hounslow,58-63 : Information & communication,"Smith, Taylor, Short-Gardner, Morrison, Anderson, Smith, Goddard",0-632k,1,United Kingdom,0,4.259722431,2.741947088,E09000018,Hounslow,0.04891132,0,,58-63,J,Information & communication,Shop
861,West Oxfordshire,68 : Property,"Harris, Harris, Duncan, Richards-Matthews Reid-Williams",0-632k,1,United Kingdom,0,17.0784262,9.023680292,E07000181,West Oxfordshire,0.27274208,0.044194636,,68,L,Property,Factory
862,Crawley,"90-99 : Arts, entertainment, recreation & other","Bryant-Baker, Daniels, Thompson-Smith, Wilson Skinner-Wilkinson",0-632k,1,United Kingdom,0,8.614655064,5.299412552,E07000226,Crawley,0.169550752,0,,90-99,R,"Arts, entertainment, recreation & other",Office
863,Southwark,58-63 : Information & communication,"Roberts-Smith, Barker, Owen, Holt, Lowe-Elliott",0-632k,1,United Kingdom,0,3.959400486,3.434023668,E09000028,Southwark,0.0293964,0,,58-63,J,Information & communication,Shop
864,Coventry,68 : Property,"Harvey-Jones, Brown, Lee, McDonald, O'Neill",0-632k,1,United Kingdom,0,39.99753983,45.37530696,E08000026,Coventry,0.273574257,0.022888384,,68,L,Property,Other
865,Milton Keynes,"69-75 : Professional, scientific & technical","Miller, Taylor-Williams, Wheeler, McCarthy-Owen Howell",0-632k,1,United Kingdom,0,14.07329956,13.78020412,E06000042,Milton Keynes,0.985144787,0.286041815,,69-75,M,"Professional, scientific & technical",Warehouse
866,Brent,46 : Wholesale,"Foster, Archer, Gill, Arnold-Morris, Smith-Hudson",632k-10.2M,1,United Kingdom,0,6.83770951,5.626925228,E09000005,Brent,0.685043721,0,,46,G,Wholesale,Office
867,Aberdeen City,"90-99 : Arts, entertainment, recreation & other","Wallace-Jackson, Elliott, Wood-Harris, Jones, Watts-White",0-632k,1,United Kingdom,,,,S12000033,Aberdeen City,,,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
868,Lewisham,55-56 : Accommodation & food services,"Harrison, Hall, Miles, Stephenson-French, Bray, Brady, Evans",0-632k,1,United Kingdom,0,6.082990837,9.37726293,E09000023,Lewisham,0.863958567,0,,55-56,I,Accommodation & food services,Office
869,Conwy,55-56 : Accommodation & food services,"Harris, Murphy, O'Sullivan, Sullivan-Atkinson, Young, Foster, Horton",632k-10.2M,0,United Kingdom,0,17.30604818,17.78646647,W06000003,Conwy,0.295615329,0.0030672,,55-56,I,Accommodation & food services,Other
870,Fife,"90-99 : Arts, entertainment, recreation & other","Robson, Parry, Davies, Harris, Allen",0-632k,1,United Kingdom,,,,S12000047,Fife,,,,90-99,R,"Arts, entertainment, recreation & other",Shop
871,Dudley,86-88 : Health,"Smith, Burgess, Peacock, Rees, Spencer",632k-10.2M,1,United Kingdom,0,15.2756455,20.84613643,E08000027,Dudley,1.132378694,0.006641707,,86-88,Q,Health,Other
872,Thurrock,49-53 : Transport & Storage (inc. postal),"Hudson, Harrison, White, Foster, Rees, Simpson, Douglas",0-632k,1,United Kingdom,0,6.869188905,5.796362398,E06000034,Thurrock,0.254489188,0,,49-53,H,Transport & Storage (inc. postal),Shop
873,Sandwell,77-82 : Business administration & support services,"Ferguson-Howard, Morris, Begum, Holt, Hanson, Patel, Ryan",0-632k,1,United Kingdom,0,8.31249821,10.65824215,E08000028,Sandwell,0.503185276,0.098347115,,77-82,N,Business administration & support services,Warehouse
874,Westminster,"69-75 : Professional, scientific & technical","Sharp, Kennedy-Shepherd, Leonard, Field, Dyer, Ali, Greenwood",0-632k,1,United Kingdom,0,1035.560482,603.7647219,E09000033,Westminster,0.221778786,0.060015361,,69-75,M,"Professional, scientific & technical",Other
875,Leeds,"69-75 : Professional, scientific & technical","Patel, Harrison, Warren, King-Steele, Walker-Burrows",0-632k,1,United Kingdom,0,3.676471286,4.822664281,E08000035,Leeds,0.272845471,0,,69-75,M,"Professional, scientific & technical",Office
876,Halton,58-63 : Information & communication,"Moore, Payne, Gray-Heath, Cooper James, Singh, Holloway",0-632k,1,United Kingdom,0,5.128882046,4.532187132,E06000006,Halton,0.079305086,0,,58-63,J,Information & communication,Shop
877,Slough,41-43 : Construction,"Holmes, Walker, Harrison, Bennett-Evans, Higgins-Brown",0-632k,1,United Kingdom,0,17.84019108,7.091187294,E06000039,Slough,0.751219247,0,,41-43,F,Construction,Office
878,"Bristol, City of","69-75 : Professional, scientific & technical","Burton, Adams, Harding, Young, Jenkins, Smith, Martin",0-632k,1,United Kingdom,0,2.628295377,2.144202616,E06000023,"Bristol, City of",0.160734972,0,,69-75,M,"Professional, scientific & technical",Shop
879,East Hertfordshire,77-82 : Business administration & support services,"Bennett, Lucas, Thomas, Smith, Mason, Booth, Bennett",632k-10.2M,1,United Kingdom,0,4.694965327,4.892582455,E07000242,East Hertfordshire,0.21015113,0,,77-82,N,Business administration & support services,Office
880,Ealing,41-43 : Construction,"Smith-Morris, Moore, Wheeler, Smith, Miller, Young, Patel",0-632k,0,United Kingdom,0,8.56858668,6.068553193,E09000009,Ealing,0.520291262,0,,41-43,F,Construction,Office
881,West Devon,55-56 : Accommodation & food services,"Quinn, O'Donnell, Miller-Walsh, Hunt Young, Wilson, Brown",0-632k,0,United Kingdom,0,3.013044868,2.325766128,E07000047,West Devon,0.303700125,0,,55-56,I,Accommodation & food services,Shop
882,Stoke-on-Trent,46 : Wholesale,"Thompson, Edwards, Humphries, Watson-Harrison, Willis",0-632k,0,United Kingdom,0,15.02505897,47.21182746,E06000021,Stoke-on-Trent,1.162006173,1.089353895,,46,G,Wholesale,Factory
883,Bromsgrove,77-82 : Business administration & support services,"Gibbs, Evans, Brown, Davis-Elliott, Moss-Gallagher",0-632k,1,United Kingdom,0,2.700809406,1.987368936,E07000234,Bromsgrove,0.156606613,0,,77-82,N,Business administration & support services,Shop
884,Sefton,49-53 : Transport & Storage (inc. postal),"Howarth-Lee, Campbell-Wright, Parker-Barnett, Riley, Carter",0-632k,1,United Kingdom,0,5.871629628,21.96559393,E08000014,Sefton,0.287933551,0,,49-53,H,Transport & Storage (inc. postal),Office
